category,sub_category,product_id,title,sku_id,currency_name,sale_price_format,origin_price_format,discount_format,score,review_count,sold_count,seller_id,shop_name,updated_at,canonical_url
audio-video,headphones-earphones-accessories,1731357363352733612,"Tai nghe GAMING cho PC/Laptop/Điện thoại nhét tai in ear dây dài 3M có mic đàm thoại jack USB, Type C, Micro 3.5mm",1732130056195311532,VND,92.000,144.000,36%,4.8,60,908,7494903805105114028,StaFor,0,https://www.tiktok.com/shop/vn/pdp/1731357363352733612
audio-video,headphones-earphones-accessories,1730296061890300064,"Tai Nghe Bluetooth Gaming Langsdom TA08, Bass mạnh, Pin tổng 30h, ANC -50dB, Độ trễ cực thấp 45ms",1730489127496026272,VND,515.000,980.000,47%,5.0,58,269,7494647344282503328,Langsdom Vietnam Store,1754497469260,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-gaming-langsdom-ta08-bass-manh-anc-50db/1730296061890300064
audio-video,headphones-earphones-accessories,1731550870588065989,"Tai Nghe Ngủ, X55, Tai Nghe Không Dây, Tai Nghe Mini, Tai Nghe Bluetooth TWS, Thiết Kế Ẩn",1731550870588131525,VND,62.900,90.000,30%,4.3,3482,38465,7495338424752900293,YIBEIMEI,0,https://www.tiktok.com/shop/vn/pdp/1731550870588065989
audio-video,headphones-earphones-accessories,1729693967710391040,Tai Nghe Chụp Tai Headphone Bluetooth Không Dây M9 Tai Nghe Chụp Gaming Sạc Nhanh Chống Ồn Gấp Gọn Nghe Nhạc Siêu  Hay,1730073345360694016,VND,135.000,420.000,68%,4.8,972,7855,7494543920310815488,Phụ Kiện Công Nghệ AZ68-1,1754491050233,https://www.tiktok.com/shop/vn/pdp/tai-nghe-chup-tai-m9-bluetooth-khong-day-gaming-chong-on-gap-gon/1729693967710391040
audio-video,headphones-earphones-accessories,1731982623157421446,Tai nghe chụp tai M3 chống tiếng ồn có thể gập lại kèm mic,1731983010116568454,VND,102.000,212.000,52%,4.0,23,234,7496276010516580742,TZUZL-Tai nghe,1754838131063,https://www.tiktok.com/shop/vn/pdp/tai-nghe-chup-tai-m3-co-mic-bluetooth-5-3-am-thanh-hi-fi/1731982623157421446
audio-video,headphones-earphones-accessories,1729658692128377359,"COD - Tai nghe Bluetooth không dây mini X6, bán trong tai, khử tiếng ồn, tai nghe thể thao cảm ứng, hàng sẵn sàng",1729658692128508431,VND,137.200,348.000,61%,4.2,81,812,8646957776050619919,LOHVTU SHOP,1754690858342,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-khong-day-mini-x6-cam-ung-khu-tieng-on/1729658692128377359
audio-video,headphones-earphones-accessories,1730423512675289147,"Hot Air 3 - tai nghe không dây Bluetooth , tai nghe cảm ứng Hifi, Mic trong tai, tai nghe trò chơi thể thao, tai nghe phổ thông với vỏ dễ thương",1730423512675354683,VND,98.900,120.000,18%,4.6,41,447,8647454495634261051,bosm,1754697559287,https://www.tiktok.com/shop/vn/pdp/hot-air-3-tai-nghe-bluetooth-khong-day-am-thanh-hifi/1730423512675289147
audio-video,headphones-earphones-accessories,1730840978773281022,"Tai nghe ngủ KY J11 [3 Quà tặng miễn phí] 1 Nhãn dán hoạt hình+1 Bao tay chơi game+1 Dây buộc, Âm thanh nổi cấp HIFI,  Chống nước iPX5, Điều khiển cảm ứng, Giảm tiếng ồn ENC, Mic khử tiếng ồn tích hợp",1730840978773346558,VND,119.800,500.000,76%,4.5,2771,24872,8647121890967454974,KY Tech,1754493038208,https://www.tiktok.com/shop/vn/pdp/tai-nghe-ngu-ky-j11-3-qua-tang-am-thanh-hifi-chong-nuoc-ipx5/1730840978773281022
audio-video,headphones-earphones-accessories,1729665079173679622,"Tai Nghe Bluetooth 5.3 MD538 Mẫu mới Nhét tai Không Dây, Thiết Kế Mỏng Nhẹ Nằm Ngủ, Micro Tích Hợp, Pass Căng, Chống Nước Nghe Nhạc Earphone",1729899894227307014,VND,158.999,250.000,36%,4.6,4032,28296,7494683194169330182,Hàng Giá Gốc,1755016067391,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-5-3-md538-am-thanh-360-%C4%91o-pin-lau/1729665079173679622
audio-video,headphones-earphones-accessories,1731514353174086778,"SENBENBAO SH-99Pro Mới Nhất ENC Tai Nghe [Quà tặng miễn phí] 1 h hãn dán hoạt hình+1 Bao tay chơi game, Thiết ế viên nang không gian, Âm thanh nổi cấp độ HiFi, Mic tích hợp chống nước IPX5, Giảm tiếng n, Tương thích với iPhone và Android",1731514353174152314,VND,79.999,109.999,27%,4.5,50,524,8646960024909415546,SHIRLEYYAN,1754755774851,https://www.tiktok.com/shop/vn/pdp/tai-nghe-senbenbao-sh-99pro-khu-tieng-on-enc-am-thanh-hifi-tuong-thich-iphone-android/1731514353174086778
audio-video,headphones-earphones-accessories,1732750109783524422,"Tai nghe một bên OWS G6: Tận hưởng thời lượng pin kéo dài, âm trầm sâu và cuộc gọi rõ nét. Thiết kế thoải mái, vừa khít giúp tai nghe cố định trong quá trình tập luyện, hoàn hảo cho thể thao, cuộc gọi và các hoạt động hàng ngày",1732750396859974726,VND,69.800,79.300,12%,4.4,20,228,8652417620913521734,Tân Xương,1759849216532,https://www.tiktok.com/shop/vn/pdp/tai-nghe-mot-ben-ows-g6-pin-lau-am-thanh-song-%C4%91ong-an-toan/1732750109783524422
audio-video,headphones-earphones-accessories,1730489047984277803,Tai nghe bluetooth Soundcore P40i | Chống ồn chủ động ANC | Pin trâu| Dịch thuật AI trên App | Đàm thoại vượt trội- Tai nghe không dây headphone chụp tai- Bảo hành 18 tháng- Hàng chính hãng,1731202039813145899,VND,1.035.498,2.190.000,53%,4.7,188,1472,7495772434509170987,Soundcore Vietnam,0,https://www.tiktok.com/shop/vn/pdp/1730489047984277803
audio-video,headphones-earphones-accessories,1732286088970406048,"Tai Nghe Gaming Ziyou Attack Shark L90 - 3 Chế Độ kết Nối , Đèn RGB, Âm Thanh Vòm 7.1, Mic Chống Ồn, Pin Siêu Trâu",1732287537908451488,VND,612.750,870.000,30%,4.7,75,751,7494574456049535136,ZIYOU,1754578715049,https://www.tiktok.com/shop/vn/pdp/tai-nghe-gaming-khong-day-ziyou-attack-shark-l90-3-che-%C4%91o-ket-noi-am-thanh-vom-7-1-mic-chong-oa/1732286088970406048
audio-video,headphones-earphones-accessories,1731467378808752914,"AirPos.4 2025 Có chống ồn đàm thoại ANC [ GIÁ TẠI KHO SỈ, CÁC SHOP NHẬP BÁN ~300k TRỞ LÊN ] kết nối ios, androi,tivi,laptop... có cảm chạm ứng tăng giảm âm lượng, next bài, nghe gọi,... hoàn thêm 20k khi nhận hàng,Tặng cáp sạc 4in1, lỗi đổi mới trong 1năm",1732141655405856530,VND,204.250,386.000,47%,4.7,514,2436,7495993438411524882,KH0 SỈ MIỀN BẮC,1754693296708,https://www.tiktok.com/shop/vn/pdp/tai-nghe-ap4-2025-chong-on-anc-40db-am-thanh-khong-gian/1731467378808752914
audio-video,headphones-earphones-accessories,1732156398218479186,"Tai nghe thông minh Bluetooth, Q12, 4 trong 1, với khả năng khử tiếng ồn thông minh, micrô HD, thời lượng pin dài, tai nghe nhét tai không thấm nước, màn hình pin kỹ thuật số thông minh, siêu nhẹ, tai nghe Bluetooth Cầm Tay",1732156398218544722,VND,216.616,1.436.663,85%,4.6,16,107,8647134891893818962,UNI TECH,1755011828423,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-minh-q12-mic-hd-pin-lau-chong-nuoc/1732156398218479186
audio-video,headphones-earphones-accessories,1729955846273796998,Tai nghe gaming có dây U24 nhét tai có mic chống ồn chơi game,1729955850042772358,VND,20.900,40.000,48%,4.6,31,344,7495513616724953990,SagopyGlass,1754931622160,https://www.tiktok.com/shop/vn/pdp/tai-nghe-gaming-co-day-u24-nhet-tai-voi-mic-chong-on-cho-pc-smartphone/1729955846273796998
audio-video,headphones-earphones-accessories,1732216538135430710,[Độc quyền TikTok Shop] Tai Nghe Bluetooth 5.4 M6 ANC/ENC Công Nghệ Chống Ồn Tốt HiFi Chức Năng Nghe Gọi Chơi Game Thời Lượng Pin Lên Đến 6 Giờ -  Bảo Hành Chính Hãng Nhét Tai Nghe Nhạc Earphone di động trong tai Không Dây bass Wireless tai nghe tranynoo,1732216531850790454,VND,429.000,612.857,30%,4.5,13,97,7495330054045796918,TRANYOO VIETNAM,1755614868173,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-tranyoo-m6-anc-enc-chong-on-tot-thoi-luong-pin-6-gio/1732216538135430710
audio-video,headphones-earphones-accessories,1732696277882275295,"Tai nghe JBL PHANTOM X3 Pro không dây, chống nước IPX7, pin lâu, âm bass mạnh, âm thanh vòm 3D, chống ồn thông minh, chơi game, gọi điện, nghe nhạc, thể thao, tai nghe Bluetooth không dây dạng nhét tai",1732696251165541855,VND,275.600,450.000,39%,4.7,3,42,7494169179092387295,SHOP--VN--06,1759587336980,https://www.tiktok.com/shop/vn/pdp/tai-nghe-khong-day-jbl-phantom-x3-pro-chong-nuoc-ipx7-am-bass-manh-pin-lau-dai-chong-on-minh/1732696277882275295
